,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Outlier,cluster
1020,VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,9.9,7.2,8.7,32,200,1,0
1021,VOLKSWAGEN,BEETLE,COMPACT,2.0,4,A6,Z,10.3,7.7,9.1,31,209,1,1
1022,VOLKSWAGEN,BEETLE,COMPACT,2.0,4,M6,Z,10.8,7.6,9.4,30,216,1,1
1023,VOLKSWAGEN,BEETLE,COMPACT,2.5,5,A6,X,10.9,8.4,9.8,29,225,1,0
1024,VOLKSWAGEN,BEETLE,COMPACT,2.5,5,M5,X,11.2,7.7,9.6,29,221,1,0
1025,VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4,A6,D,8.4,5.9,7.4,38,200,1,0
1026,VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4,M6,D,8.8,6.1,7.7,37,208,1,0
1027,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4,A6,X,9.8,7.3,8.7,32,200,1,0
1028,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,A6,Z,10.3,8.1,9.3,30,214,1,1
1029,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,M6,Z,10.8,7.6,9.4,30,216,1,1
1030,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.5,5,A6,X,11.2,8.7,10.1,28,232,1,0
1031,VOLKSWAGEN,CC,COMPACT,2.0,4,A6,Z,11.1,7.9,9.7,29,223,1,1
1032,VOLKSWAGEN,CC,COMPACT,2.0,4,M6,Z,11.6,7.7,9.8,29,225,1,1
1033,VOLKSWAGEN,CC 4MOTION,COMPACT,3.6,6,A6,Z,14.3,9.8,12.3,23,283,1,1
1034,VOLKSWAGEN,EOS,SUBCOMPACT,2.0,4,A6,Z,10.9,8.0,9.6,29,221,1,1
1035,VOLKSWAGEN,GOLF WAGON,STATION WAGON - SMALL,2.5,5,A6,X,11.0,7.7,9.5,30,218,1,0
1036,VOLKSWAGEN,GOLF WAGON,STATION WAGON - SMALL,2.5,5,M5,X,11.2,7.3,9.4,30,216,1,0
1037,VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4,A6,D,8.1,6.4,7.4,38,198,1,0
1038,VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4,M6,D,8.3,6.0,7.3,39,196,1,0
1039,VOLKSWAGEN,JETTA,COMPACT,1.8,4,A6,X,9.5,6.7,8.2,34,189,1,0
1040,VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,9.4,6.7,8.2,34,189,1,0
1041,VOLKSWAGEN,JETTA,COMPACT,2.0,4,A6,X,10.6,8.0,9.4,30,216,1,0
1042,VOLKSWAGEN,JETTA,COMPACT,2.0,4,M5,X,10.4,7.2,9.0,31,207,1,0
1043,VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4,A6,D,8.1,6.4,7.4,38,198,1,0
1044,VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4,M6,D,8.3,6.0,7.3,39,196,1,0
1045,VOLKSWAGEN,JETTA GLI,COMPACT,2.0,4,A6,Z,10.2,7.5,9.0,31,207,1,1
1046,VOLKSWAGEN,JETTA GLI,COMPACT,2.0,4,M6,Z,10.6,7.4,9.2,31,212,1,1
1047,VOLKSWAGEN,JETTA TURBO HYBRID,COMPACT,1.4,4,AM7,Z,5.6,5.2,5.4,52,124,-1,1
1048,VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,A6,X,9.9,6.9,8.6,33,198,1,0
1049,VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,M5,X,10.0,6.9,8.6,33,198,1,0
1050,VOLKSWAGEN,PASSAT,MID-SIZE,2.5,5,A6,X,11.0,8.0,9.7,29,223,1,0
1051,VOLKSWAGEN,PASSAT,MID-SIZE,2.5,5,M5,X,11.4,7.8,9.8,29,225,1,0
1052,VOLKSWAGEN,PASSAT,MID-SIZE,3.6,6,A6,Z,12.4,8.8,10.8,26,248,1,1
1053,VOLKSWAGEN,PASSAT TDI (modified),MID-SIZE,2.0,4,A6,D,7.8,5.9,6.9,41,180,1,0
1054,VOLKSWAGEN,ROUTAN,MINIVAN,3.6,6,A6,X,14.2,9.5,12.1,23,278,1,0
1055,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,A6,Z,11.7,9.5,10.7,26,246,1,1
1056,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,M6,Z,13.6,9.2,11.6,24,267,1,1
1057,VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2.0,4,A6,Z,11.7,9.4,10.7,26,246,1,1
1058,VOLKSWAGEN,TOUAREG,SUV - STANDARD,3.6,6,AS8,Z,14.4,10.4,12.6,22,296,1,1
1059,VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3.0,6,AS8,D,11.8,8.1,10.2,28,277,1,0
1060,VOLVO,S60,COMPACT,2.5,5,AS6,X,11.3,7.8,9.7,29,223,1,0
1061,VOLVO,S60 AWD,COMPACT,2.5,5,AS6,X,11.6,8.3,10.1,28,232,1,0
1062,VOLVO,S60 AWD,COMPACT,3.0,6,AS6,X,13.2,9.5,11.5,25,264,1,0
1063,VOLVO,S80,MID-SIZE,3.2,6,AS6,X,11.9,8.1,10.2,28,235,1,0
1064,VOLVO,S80 AWD,MID-SIZE,3.0,6,AS6,X,13.2,9.5,11.5,25,264,1,0
1065,VOLVO,XC60,SUV - SMALL,3.2,6,AS6,X,13.0,8.9,11.2,25,258,1,0
1066,VOLVO,XC60 AWD,SUV - SMALL,3.0,6,AS6,X,13.4,9.8,11.8,24,271,1,0
1067,VOLVO,XC60 AWD,SUV - SMALL,3.2,6,AS6,X,13.2,9.5,11.5,25,264,1,0
1068,VOLVO,XC70 AWD,SUV - SMALL,3.0,6,AS6,X,13.4,9.8,11.8,24,271,1,0
1069,VOLVO,XC70 AWD,SUV - SMALL,3.2,6,AS6,X,12.9,9.3,11.3,25,260,1,0
1070,VOLVO,XC90 AWD,SUV - STANDARD,3.2,6,AS6,X,14.9,10.2,12.8,22,294,1,0
1071,ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.7,6.7,8.3,34,191,1,1
1072,ACURA,ILX,COMPACT,2.4,4,M6,Z,10.8,7.4,9.3,30,214,1,1
1073,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.0,6.1,6.1,46,140,-1,1
1074,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,1,1
1077,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.0,7.5,7.7,37,177,-1,1
1078,ACURA,TLX,COMPACT,2.4,4,AM8,Z,9.6,6.6,8.3,34,191,1,1
1079,ACURA,TLX,COMPACT,3.5,6,AS9,Z,11.2,6.9,9.2,31,212,1,1
1080,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,9.6,29,221,1,1
1083,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,A8,Z,16.8,10.9,14.2,20,327,-1,1
1085,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356,1,1
1087,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356,1,1
1088,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12,AM7,Z,19.5,12.8,16.5,17,379,-1,1
1089,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,1,1
1090,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356,1,1
1091,ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12,A8,Z,17.6,11.4,14.8,19,340,-1,1
1092,AUDI,A3,SUBCOMPACT,1.8,4,AM6,Z,10.0,7.1,8.7,32,200,1,1
1093,AUDI,A3 TDI (modified),SUBCOMPACT,2.0,4,AM6,D,7.6,5.5,6.5,43,177,1,0
1094,AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,9.8,7.2,8.6,33,198,1,1
1095,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,10.1,7.5,8.9,32,205,1,1
1096,AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.6,8.9,32,205,1,1
1097,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.0,7.8,9.6,29,221,1,1
1098,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.6,7.3,9.1,31,209,1,1
1099,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,11.2,8.4,9.9,28,228,1,1
1100,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.0,7.8,9.6,29,221,1,1
1101,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.6,7.3,9.1,31,209,1,1
1102,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.3,8.0,9.8,29,225,1,1
1103,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,12.0,8.1,10.3,27,237,1,1
1106,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,13.1,8.5,11.0,26,253,1,1
1108,AUDI,A8,MID-SIZE,3.0,6,AS8,Z,12.6,8.0,10.5,27,242,1,1
1109,AUDI,A8,MID-SIZE,4.0,8,AS8,Z,12.9,8.0,10.7,26,246,1,1
1111,AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,12.6,8.0,10.5,27,242,1,1
1112,AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,13.2,8.3,11.0,26,258,1,1
1113,AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,17.8,10.8,14.6,19,344,-1,1
1115,AUDI,Q3,COMPACT,2.0,4,AS6,Z,12.0,8.2,10.3,27,237,1,1
1116,AUDI,Q3 QUATTRO,COMPACT,2.0,4,AS6,Z,11.9,8.4,10.3,27,237,1,1
1118,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,13.2,9.2,11.4,25,262,1,1
1120,AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,9.8,7.9,8.9,32,205,1,1
1121,AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.2,11.0,13.3,21,306,1,1
1123,AUDI,R8,TWO-SEATER,4.2,8,AM7,Z,17.3,10.4,14.2,20,327,1,1
1124,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,16.6,17,382,1,1
1125,AUDI,R8,TWO-SEATER,5.2,10,AM7,Z,18.2,10.6,14.8,19,347,1,1
1126,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,19.9,12.0,16.4,17,377,-1,1
1127,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,AM7,Z,17.3,10.4,14.2,20,327,1,1
1128,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,16.6,17,382,1,1
1129,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,AM7,Z,18.2,10.6,14.8,19,347,1,1
1130,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,19.9,12.0,16.4,17,377,-1,1
1131,AUDI,RS 5,SUBCOMPACT,4.2,8,AM7,Z,14.9,10.1,12.8,22,294,1,1
1132,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,AM7,Z,14.8,10.6,12.9,22,297,1,1
1133,AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,16.6,9.4,13.3,21,313,1,1
1134,AUDI,S3,SUBCOMPACT,2.0,4,AM6,Z,10.1,7.7,9.0,31,207,1,1
1135,AUDI,S4,COMPACT,3.0,6,AM7,Z,13.0,8.5,11.0,26,253,1,1
1136,AUDI,S4,COMPACT,3.0,6,M6,Z,13.8,9.0,11.7,24,269,1,1
1137,AUDI,S5,SUBCOMPACT,3.0,6,AM7,Z,13.0,8.5,11.0,26,253,1,1
1138,AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,13.8,9.0,11.7,24,269,1,1
1139,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,13.3,9.1,11.4,25,262,1,1
1140,AUDI,S6,MID-SIZE,4.0,8,AM7,Z,14.0,8.7,11.7,24,269,1,1
1141,AUDI,S7,MID-SIZE,4.0,8,AM7,Z,14.0,8.7,11.7,24,269,1,1
1142,AUDI,S8,MID-SIZE,4.0,8,AS8,Z,14.6,8.8,11.9,24,281,1,1
1143,AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.1,9.9,12.2,23,281,1,1
1144,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,10.4,7.6,9.1,31,209,1,1
1145,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,Z,10.4,7.7,9.2,31,212,1,1
1146,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,11.7,8.4,10.2,28,235,1,1
1147,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,Z,11.7,8.5,10.2,28,235,1,1
1148,BENTLEY,CONTINENTAL GT,COMPACT,4.0,8,AS8,Z,16.1,9.4,13.1,22,307,1,1
1149,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS8,Z,18.9,11.2,15.4,18,354,-1,1
1150,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8,AS8,Z,17.7,10.3,14.4,20,337,1,1
1151,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,19.6,11.7,16.0,18,368,-1,1
1152,BENTLEY,CONTINENTAL GT3-R,TWO-SEATER,4.0,8,AS8,Z,17.6,10.1,14.2,20,327,1,1
1153,BENTLEY,FLYING SPUR,MID-SIZE,4.0,8,AS8,Z,17.7,10.0,14.2,20,334,1,1
1155,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,13.3,18.2,16,419,-1,1
1156,BMW,228i CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,1,1
1157,BMW,228i COUPE,SUBCOMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,1,1
1158,BMW,228i COUPE,SUBCOMPACT,2.0,4,M6,Z,10.7,6.9,9.0,31,207,1,1
1159,BMW,228i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,1,1
1160,BMW,228i xDRIVE COUPE,SUBCOMPACT,2.0,4,AS8,Z,10.3,6.7,8.7,32,200,1,1
1161,BMW,320i SEDAN,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,1,1
1162,BMW,320i SEDAN,COMPACT,2.0,4,M6,Z,10.7,6.9,9.0,31,207,1,1
1163,BMW,320i xDRIVE SEDAN,COMPACT,2.0,4,AS8,Z,10.3,6.7,8.7,32,200,1,1
1164,BMW,328d xDRIVE SEDAN,COMPACT,2.0,4,AS8,D,7.6,5.5,6.7,42,181,1,0
1165,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,D,7.6,5.5,6.7,42,181,1,0
1166,BMW,328i SEDAN,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,1,1
1167,BMW,328i SEDAN,COMPACT,2.0,4,M6,Z,10.7,6.9,9.0,31,207,1,1
1168,BMW,328i xDRIVE SEDAN,COMPACT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,1,1
1169,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,1,1
1170,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,1,1
1171,BMW,335i SEDAN,COMPACT,3.0,6,AS8,Z,11.4,7.4,9.6,29,221,1,1
1172,BMW,335i SEDAN,COMPACT,3.0,6,M6,Z,11.5,7.8,9.8,29,225,1,1
1173,BMW,335i xDRIVE SEDAN,COMPACT,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,1,1
1174,BMW,335i xDRIVE SEDAN,COMPACT,3.0,6,M6,Z,12.0,8.3,10.3,27,237,1,1
1175,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,1,1
1176,BMW,428i CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,1,1
1177,BMW,428i COUPE,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,1,1
1178,BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.7,6.9,9.0,31,207,1,1
1179,BMW,428i GRAN COUPE,COMPACT,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,1,1
1180,BMW,428i GRAN COUPE,COMPACT,2.0,4,M6,Z,10.9,6.8,9.0,31,207,1,1
1181,BMW,428i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,11.2,7.5,9.6,29,221,1,1
1182,BMW,428i xDRIVE COUPE,COMPACT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,1,1
1183,BMW,428i xDRIVE GRAN COUPE,COMPACT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,1,1
1184,BMW,435i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.8,7.6,9.9,29,228,1,1
1185,BMW,435i COUPE,COMPACT,3.0,6,AS8,Z,11.4,7.4,9.6,29,221,1,1
1186,BMW,435i COUPE,COMPACT,3.0,6,M6,Z,11.5,7.8,9.8,29,225,1,1
1187,BMW,435i GRAN COUPE,COMPACT,3.0,6,AS8,Z,11.4,7.4,9.6,29,221,1,1
1188,BMW,435i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,1,1
1189,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,1,1
1190,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,12.0,8.3,10.3,27,237,1,1
1191,BMW,435i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,1,1
1192,BMW,528i SEDAN,MID-SIZE,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,1,1
1193,BMW,528i xDRIVE SEDAN,MID-SIZE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,1,1
1194,BMW,535d xDRIVE SEDAN,MID-SIZE,3.0,6,AS8,D,9.2,6.3,7.9,36,213,1,0
1195,BMW,535i xDRIVE SEDAN,MID-SIZE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,1,1
1196,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Z,12.8,8.9,11.0,26,253,1,1
1197,BMW,550i xDRIVE SEDAN,MID-SIZE,4.4,8,AS8,Z,14.4,9.7,12.3,23,283,1,1
1198,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,1,1
1199,BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,1,1
1200,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,1,1
1201,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,1,1
1202,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,AS8,Z,14.4,9.7,12.3,23,283,1,1
1203,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,1,1
1204,BMW,740Ld xDRIVE SEDAN,FULL-SIZE,3.0,6,AS8,D,10.2,7.1,8.8,32,238,1,0
1205,BMW,740Li xDRIVE SEDAN,FULL-SIZE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,1,1
1206,BMW,750i xDRIVE SEDAN,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,1,1
1207,BMW,750Li xDRIVE SEDAN,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,1,1
1208,BMW,760Li SEDAN,FULL-SIZE,6.0,12,AS8,Z,18.7,11.6,15.5,18,356,-1,1
1209,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,AS8,Z,9.7,7.5,8.7,32,200,1,1
1210,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,AS8,Z,10.6,7.9,9.4,30,216,1,1
1211,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,AS8,Z,10.6,7.7,9.3,30,214,1,1
1212,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,1,1
1213,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,1,1
1214,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,1,1
1215,BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.8,8.1,10.2,28,235,1,1
1216,BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,12.3,9.0,10.8,26,248,1,1
1217,BMW,M235i COUPE,SUBCOMPACT,3.0,6,AS8,Z,11.8,8.1,10.2,28,235,1,1
1218,BMW,M235i COUPE,SUBCOMPACT,3.0,6,M6,Z,11.9,8.5,10.4,27,239,1,1
1219,BMW,M235i xDRIVE COUPE,SUBCOMPACT,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,1,1
1220,BMW,M3 SEDAN,COMPACT,3.0,6,AM7,Z,14.2,9.6,12.1,23,278,1,1
1221,BMW,M3 SEDAN,COMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24,267,1,1
1222,BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,14.1,9.7,12.1,23,278,1,1
1223,BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,14.1,9.0,11.8,24,271,1,1
1224,BMW,M4 COUPE,COMPACT,3.0,6,AM7,Z,14.1,9.7,12.1,23,278,1,1
1225,BMW,M4 COUPE,COMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24,267,1,1
1226,BMW,M5 SEDAN,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,1,1
1227,BMW,M5 SEDAN,MID-SIZE,4.4,8,M6,Z,16.1,10.8,13.7,21,315,1,1
1229,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315,1,1
1230,BMW,M6 COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,1,1
1231,BMW,M6 COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315,1,1
1233,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315,1,1
1234,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,1,1
1235,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Z,13.2,8.9,11.2,25,258,1,1
1236,BMW,X3 xDRIVE28d,SUV - SMALL,2.0,4,AS8,D,8.6,6.9,7.9,36,213,1,0
1237,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,11.1,8.4,9.9,29,228,1,1
1238,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Z,12.7,8.8,10.9,26,251,1,1
1239,BMW,X4 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,11.7,8.4,10.2,28,235,1,1
1240,BMW,X4 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Z,12.7,8.8,10.9,26,251,1,1
1241,BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,336,1,1
1242,BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6,AS8,D,9.9,7.2,8.7,32,235,1,0
1243,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Z,13.0,8.9,11.1,25,255,1,1
1244,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,16.1,10.9,13.8,20,317,1,1
1245,BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,336,1,1
1246,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Z,13.0,8.9,11.1,25,255,1,1
1247,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,16.1,10.9,13.8,20,317,1,1
1248,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,AS8,Z,10.7,7.1,9.1,31,209,1,1
1249,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,10.7,6.9,9.0,31,207,1,1
1250,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.7,10.0,12.1,23,278,1,1
1252,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,13.7,10.0,12.1,23,278,1,1
1253,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.2,9.9,12.3,23,283,1,0
1257,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.6,11.4,25,262,1,0
1258,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.7,12.4,15.8,18,253,1,2
1259,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.9,9.1,11.7,24,269,1,0
1260,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,18.6,12.6,15.9,18,254,1,2
1262,BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.4,7.9,9.8,29,225,1,1
1263,BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.6,7.6,9.8,29,225,1,1
1264,BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,12.4,8.7,10.7,26,246,1,1
1266,BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.4,7.9,9.8,29,225,1,1
1267,BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.6,9.8,29,225,1,1
1268,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.1,7.4,9.4,30,216,1,0
1269,CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.1,7.9,9.7,29,223,1,1
1270,CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.2,7.9,10.3,27,237,1,1
1271,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,11.1,7.2,9.3,30,214,1,0
1272,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.4,10.8,26,248,1,0
1273,CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,11.5,8.5,10.2,28,235,1,1
1274,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,12.8,8.9,11.0,26,253,1,0
1275,CADILLAC,CTS,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,1,1
1276,CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,12.8,8.2,10.7,26,246,1,0
